date,code,market,prev_close,ref_price,kind,ratio
2023-03-30,8930,上櫃,18.1,17.1,除息,0.9447513812154696
2023-03-31,6276,上櫃,22.5,21.8,除息,0.9688888888888889
2023-04-06,2065,上櫃,63.5,59.5,除息,0.937007874015748
2023-04-06,4735,上櫃,38.55,38.05,除息,0.9870298313878081
2023-04-06,5543,上櫃,51.0,50.69,除權,0.993921568627451
2023-04-06,6865,上櫃,100.0,97.2,除息,0.972
2023-04-06,8109,上櫃,91.3,87.31,除息,0.9562979189485215
2023-04-07,1217,上市,11.8,11.4,息,0.9661016949152542
2023-04-07,2884,上市,25.45,25.16,權,0.9886051080550099
2023-04-07,3003,上市,71.3,69.3,息,0.9719495091164095
2023-04-07,3211,上櫃,82.2,76.16,除息,0.9265206812652067
2023-04-07,6148,上櫃,21.2,20.45,除息,0.964622641509434
2023-04-07,8435,上櫃,64.7,60.9,除息,0.9412673879443585
2023-04-12,2070,上櫃,38.1,36.6,除息,0.9606299212598425
2023-04-13,1524,上市,26.55,25.55,息,0.9623352165725048
2023-04-13,2064,上櫃,19.5,18.5,除息,0.9487179487179487
2023-04-13,2313,上市,46.35,43.65,息,0.9417475728155339
2023-04-13,2368,上市,102.5,99.0,息,0.9658536585365853
2023-04-13,2528,上市,24.9,24.4,息,0.9799196787148594
2023-04-13,3289,上櫃,88.0,87.0,除息,0.9886363636363636
2023-04-13,4532,上市,18.9,18.0,息,0.9523809523809524
2023-04-13,5201,上櫃,26.85,26.4,除息,0.983240223463687
2023-04-13,5287,上櫃,210.0,205.5,除息,0.9785714285714285
2023-04-13,5388,上市,94.3,89.8,息,0.9522799575821845
2023-04-13,6104,上櫃,130.0,127.5,除息,0.9807692307692307
2023-04-13,6274,上櫃,71.1,67.1,除息,0.9437412095639943
2023-04-13,6732,上櫃,391.5,376.5,除息,0.9616858237547893
2023-04-13,6747,上櫃,262.0,252.9,除息,0.9652671755725191
2023-04-13,8996,上市,244.5,243.0,息,0.9938650306748467
2023-04-13,9962,上櫃,23.0,21.2,除息,0.9217391304347826
2023-04-14,1315,上市,73.9,70.4,息,0.952638700947226
2023-04-14,2109,上市,14.6,14.2,息,0.9726027397260274
2023-04-14,2382,上市,89.3,83.3,息,0.9328107502799552
2023-04-14,2496,上市,54.0,50.7,息,0.938888888888889
2023-04-14,4528,上櫃,34.4,33.1,除息,0.9622093023255814
2023-04-14,4973,上櫃,29.2,27.2,除息,0.9315068493150684
2023-04-14,5520,上櫃,61.1,57.15,除息,0.9353518821603928
2023-04-14,6294,上櫃,119.5,110.7,除息,0.9263598326359833
2023-04-14,6756,上市,235.0,227.51,息,0.968127659574468
2023-04-19,5212,上櫃,55.0,52.4,除息,0.9527272727272728
2023-04-19,8926,上市,50.4,47.48,權,0.942063492063492
2023-04-20,2324,上市,25.65,24.45,息,0.9532163742690059
2023-04-20,2535,上市,33.75,31.25,息,0.9259259259259259
2023-04-20,3665,上市,273.0,271.66,權,0.9950915750915752
2023-04-20,4207,上櫃,15.25,14.9,除息,0.9770491803278689
2023-04-20,4568,上櫃,65.5,61.7,除息,0.9419847328244275
2023-04-20,5278,上櫃,178.5,175.71,除息,0.9843697478991598
2023-04-20,6224,上市,67.5,66.0,息,0.9777777777777777
2023-04-20,6470,上櫃,74.1,70.1,除息,0.9460188933873145
2023-04-20,8027,上櫃,54.5,52.5,除息,0.963302752293578
2023-04-20,8446,上櫃,93.7,88.7,除息,0.9466382070437567
2023-04-21,0052,上市,106.15,102.15,息,0.9623174752708431
2023-04-21,00687B,上櫃,33.42,33.07,除息,0.9895272292040693
2023-04-21,00694B,上櫃,38.79,38.62,除息,0.9956174271719515
2023-04-21,00695B,上櫃,34.93,34.8,除息,0.996278270827369
2023-04-21,00696B,上櫃,33.76,33.52,除息,0.9928909952606637
2023-04-21,00714,上市,18.41,18.27,息,0.9923954372623573
2023-04-21,00717,上市,14.74,14.59,息,0.9898236092265943
2023-04-21,00719B,上櫃,30.82,30.5,除息,0.9896171317326411
2023-04-21,00720B,上櫃,34.84,34.34,除息,0.9856486796785304
2023-04-21,00722B,上櫃,37.92,37.42,除息,0.9868143459915611
2023-04-21,00723B,上櫃,33.81,33.43,除息,0.9887607216799763
2023-04-21,00724B,上櫃,33.44,33.01,除息,0.9871411483253588
2023-04-21,00725B,上櫃,36.7,36.26,除息,0.9880108991825611
2023-04-21,00726B,上櫃,33.8,33.3,除息,0.985207100591716
2023-04-21,00727B,上櫃,37.53,36.97,除息,0.9850786037836397
2023-04-21,00733,上市,37.24,37.12,息,0.9967776584317937
2023-04-21,00740B,上櫃,39.24,38.74,除息,0.9872579001019368
2023-04-21,00741B,上櫃,36.25,35.71,除息,0.985103448275862
2023-04-21,00746B,上櫃,36.75,36.37,除息,0.9896598639455781
2023-04-21,00749B,上櫃,31.93,31.51,除息,0.9868462261196368
2023-04-21,00750B,上櫃,34.9,34.53,除息,0.9893982808022923
2023-04-21,00761B,上櫃,37.26,36.87,除息,0.9895330112721417
2023-04-21,00772B,上櫃,35.72,35.58,除息,0.996080627099664
2023-04-21,00773B,上櫃,35.8,35.65,除息,0.9958100558659219
2023-04-21,00782B,上櫃,33.54,33.08,除息,0.9862850327966607
2023-04-21,00784B,上櫃,36.29,35.97,除息,0.9911821438412786
2023-04-21,00785B,上櫃,34.68,34.26,除息,0.9878892733564013
2023-04-21,00788B,上櫃,32.54,32.08,除息,0.9858635525507068
2023-04-21,00848B,上櫃,34.01,33.62,除息,0.9885327844751544
2023-04-21,00849B,上櫃,35.86,35.53,除息,0.99079754601227
2023-04-21,00870B,上櫃,29.89,29.53,除息,0.9879558380729341
2023-04-21,00884B,上櫃,30.53,30.19,除息,0.9888634130363577
2023-04-21,00888,上櫃,13.58,13.37,除息,0.9845360824742267
2023-04-21,00907,上市,14.6,14.45,息,0.9897260273972602
2023-04-21,00908,上市,12.19,12.07,息,0.9901558654634948
2023-04-21,00909,上市,16.98,16.75,息,0.9864546525323911
2023-04-21,00912,上市,14.81,14.52,息,0.9804186360567184
2023-04-25,00734B,上櫃,15.85,15.63,除息,0.9861198738170348
2023-04-25,00834B,上櫃,33.97,33.62,除息,0.9896967912864292
2023-04-25,00842B,上櫃,32.61,32.16,除息,0.9862005519779208
2023-04-25,00904,上市,12.0,11.89,息,0.9908333333333333
2023-04-26,00789B,上櫃,53.6,53.06,除息,0.9899253731343284
2023-04-26,00790B,上櫃,53.0,52.43,除息,0.9892452830188679
2023-04-26,00791B,上櫃,53.15,52.64,除息,0.9904045155221073
2023-04-26,3257,上市,54.1,53.1,息,0.9815157116451017
2023-04-26,5478,上櫃,99.5,92.5,除息,0.9296482412060302
2023-04-27,01001T,上市,15.4,15.0,息,0.974025974025974
2023-04-27,1604,上市,27.9,26.4,息,0.946236559139785
2023-04-27,2477,上市,21.35,20.55,息,0.9625292740046838
2023-04-27,3138,上市,154.5,151.0,息,0.9773462783171522
2023-04-27,4190,上市,95.5,94.5,息,0.9895287958115183
2023-04-27,4566,上市,64.2,62.1,息,0.9672897196261682
2023-04-27,4912,上市,70.9,70.4,息,0.9929478138222849
2023-04-27,6192,上市,75.1,71.1,息,0.9467376830892144
2023-04-27,6441,上櫃,53.3,51.74,除權,0.9707317073170733
2023-04-27,6674,上市,28.35,27.85,息,0.982363315696649
2023-04-27,6727,上櫃,70.7,66.73,除息,0.9438472418670438
2023-05-03,4923,上櫃,59.9,56.9,除息,0.9499165275459098
2023-05-16,6204,上櫃,56.4,55.0,除息,0.975177304964539
2023-05-17,00679B,上櫃,32.69,32.4,除息,0.9911287855613338
2023-05-17,00754B,上櫃,36.87,36.47,除息,0.989151071331706
2023-05-17,00755B,上櫃,34.35,33.94,除息,0.9880640465793303
2023-05-17,00756B,上櫃,33.15,32.68,除息,0.9858220211161388
2023-05-17,00771,上市,15.7,15.52,息,0.9885350318471338
2023-05-17,00772B,上櫃,35.22,35.12,除息,0.997160704145372
2023-05-17,00773B,上櫃,35.22,35.1,除息,0.9965928449744464
2023-05-17,00780B,上櫃,35.75,35.45,除息,0.9916083916083916
2023-05-17,00786B,上櫃,33.22,32.76,除息,0.9861529199277543
2023-05-17,00794B,上櫃,40.53,39.93,除息,0.9851961509992597
2023-05-17,00795B,上櫃,32.44,32.19,除息,0.9922934648581998
2023-05-17,00799B,上櫃,33.55,33.14,除息,0.9877794336810731
2023-05-17,00840B,上櫃,31.65,31.34,除息,0.9902053712480253
2023-05-17,00841B,上櫃,31.84,31.53,除息,0.9902638190954774
2023-05-17,00845B,上櫃,31.76,31.42,除息,0.989294710327456
2023-05-17,00846B,上櫃,33.31,33.01,除息,0.9909936955869107
2023-05-17,00847B,上櫃,28.15,27.88,除息,0.9904085257548846
2023-05-17,00860B,上櫃,37.43,36.94,除息,0.9869088966069997
2023-05-17,00878,上市,17.97,17.7,息,0.984974958263773
2023-05-17,00890B,上櫃,32.92,32.47,除息,0.9863304981773997
2023-05-17,00891,上市,12.53,12.4,息,0.9896249002394255
2023-05-17,00894,上市,13.31,13.21,息,0.9924868519909843
2023-05-17,00900,上市,11.27,11.25,息,0.9982253771073647
2023-05-17,01002T,上市,17.96,17.56,息,0.9777282850779508
2023-05-17,01007T,上市,17.41,17.17,息,0.9862148190695004
2023-05-17,911608,上市,3.21,3.15,息,0.9813084112149533
2023-05-18,00758B,上櫃,50.7,50.14,除息,0.9889546351084813
2023-05-18,00759B,上櫃,56.15,55.59,除息,0.9900267141585041
2023-05-18,00760B,上櫃,53.0,52.33,除息,0.9873584905660377
2023-05-18,6679,上櫃,282.5,273.5,除息,0.968141592920354
2023-05-19,00775B,上市,33.41,33.09,息,0.9904220293325354
2023-05-19,00844B,上櫃,31.51,31.16,除息,0.9888924151063154
2023-05-19,00867B,上櫃,31.47,31.13,除息,0.9891960597394344
2023-05-19,8440,上櫃,43.55,43.15,除息,0.9908151549942595
2023-05-22,00690,上市,28.38,26.88,息,0.9471458773784355
2023-05-22,6841,上櫃,95.1,93.1,除息,0.9789695057833859
2023-05-22,9136,上市,6.41,6.21,息,0.968798751950078
2023-05-24,3207,上櫃,82.2,79.64,除權,0.9688564476885645
2023-05-24,8924,上櫃,114.5,101.65,除息,0.8877729257641922
2023-05-25,2548,上市,97.5,90.0,息,0.9230769230769231
2023-05-25,8074,上櫃,21.6,20.1,除息,0.9305555555555556
2023-05-26,1598,上市,40.6,38.92,權息,0.9586206896551724
2023-05-26,4114,上櫃,45.2,44.69,除權,0.9887168141592919
2023-05-29,2636,上市,76.4,71.4,息,0.9345549738219895
2023-05-29,5493,上櫃,53.9,51.1,除息,0.9480519480519481
2023-05-29,6712,上櫃,205.0,184.61,除權息,0.9005365853658537
2023-05-30,1568,上市,25.6,24.5,息,0.95703125
2023-05-30,2637,上市,60.3,53.8,息,0.8922056384742952
2023-05-30,6456,上市,75.4,71.9,息,0.9535809018567639
2023-05-31,4995,上櫃,52.3,48.1,除息,0.9196940726577438
2023-05-31,6438,上市,117.0,111.0,息,0.9487179487179487
2023-05-31,8249,上市,31.85,29.97,息,0.9409733124018838
2023-06-01,1702,上市,50.7,48.7,息,0.960552268244576
2023-06-01,2105,上市,39.0,37.6,息,0.9641025641025641
